artista|ciudad|ubicacion|fecha_evento|hora|precio
Verfallen 2 - Tour 2016|Potsdam|Lindenpark|2016-04-02|null|null
14th JOE STRUMMER Tribute|Berlin|Clash|2016-04-02|null|null
Anna Ternheim|Berlin|Heimathafen|2016-04-05|9:00pm|null
Anna Ternheim|Berlin|Heimathafen Neukölln|2016-04-05|9:00pm|null
Donovan|Berlin|Passionskirche|2016-04-06|8:00pm|null
Battles|München|Kammerspiele, Neues Haus, Nachtline|2016-04-07|8:00pm|null
Acoustic Pub Crawl 2016|Potsdam|Lindenpark|2016-04-09|9:00pm|null
Luxuslärm|Berlin|C-Club|2016-04-16|8:00pm|null
Jamie Woon|Berlin|Heimathafen Neukölln|2016-04-22|null|null
Huun-Huur-Tu|Berlin|Passionskirche|2016-04-23|8:00pm|null
Spark Tour|Potsdam|Nikolaisaal|2016-04-26|8:00pm|null
NEON - Ekustik Tour 2016|Berlin|Passionskirche|2016-04-27|8:00pm|null
16. Rhythm Against Racism Festival 2016|Potsdam|Luisenplatz|2016-04-30|5:00pm|null
Wolfmother|Berlin|C-Halle|2016-05-02|8:00pm|null
Wolfmother|Berlin|C-Halle|2016-05-02|8:00pm|null
Me and My Drummer|Potsdam|Waschhaus|2016-05-05|null|null
Los Chikos del Maíz|Berlin|Clash|2016-05-07|null|null
Karat - Tour 2016|Dessau-Rosslau|Anhaltisches Theater Dessau|2016-05-11|null|null
Gloria|Potsdam|Waschhaus|2016-05-13|9:00pm|null
Mark Lanegan|Berlin|Passionskirche|2016-05-18|null|null
Wiglaf Droste|Potsdam|Waschhaus|2016-05-19|null|null
Max Goldt liest im heimathafen..|Berlin|Heimathafen Neukölln|2016-05-27|8:00pm|null
Iron Maiden|Berlin|Waldbühne|2016-05-31|null|null
Black Sabbath|Berlin|Waldbühne|2016-06-08|null|null
Black Sabbath - The End|Berlin|Waldbühne|2016-06-08|7:00pm|null
Black Sabbath  — The End|Berlin|Waldbühne|2016-06-08|7:00pm|null
Black Sabbath|Berlin|Waldbühne|2016-06-08|7:00pm|null
Black Sabbath|Berlin|Waldbühne|2016-06-08|8:00pm|null
La Raíz|Berlin|Clash|2016-06-10|null|null
Paul McCartney — One on One Tour|Berlin|Waldbühne|2016-06-14|null|null
Deftones|Berlin|C-Halle|2016-06-15|8:00pm|null
Sun Kil Moon|Berlin|Heimathafen Neukölln|2016-06-16|8:00pm|null
Bruce Springsteen and the E Street Band — The River Tour|Berlin|Olympiastadion|2016-06-19|null|null
A Head Full of Dreams Tour|Berlin|Olympiastadion|2016-06-29|null|null
Von Liebe, Tod und Freiheit|Berlin|Waldbühne|2016-07-16|null|null
Neil Young + Promise Of The Real|Berlin|Waldbühne|2016-07-21|7:30pm|null
Neil Young + Promise Of The Real|Berlin|Waldbühne|2016-07-21|7:30pm|null
Angst macht keinen Lärm|Potsdam|Waschhaus|2016-08-20|3:00pm|null
Vier und Jetzt Tour 2016|Berlin|IFA-Sommergarten|2016-09-01|6:30pm|null
DER TRAUMZAUBERBAUM & MIMMELITT|Potsdam|Nikolaisaal|2016-09-30|5:00pm|null
Wolkenfrei: Wachgeküsst - Die Tour 2016|Berlin|Wintergarten Varieté|2016-10-10|8:00pm|null
Russkaja|Potsdam|Waschhaus|2016-10-29|null|null
Corvus Corax - Traditionelles Weihnachtskonzert|Berlin|Passionskirche|2016-12-16|7:00pm|null
Corvus Corax - Traditionelles Weihnachtskonzert|Berlin|Passionskirche|2016-12-17|7:00pm|null
