uri_artista|nombre|fechaCreacion|descripcion
http://jorgepedia.org/resource/Bertrand Belin|null|null|null
http://dbpedia.org/resource/Fearless_Vampire_Killers_(band)|Fearless Vampire Killers|2008|Fearless Vampire Killers es una banda proveniente de Inglaterra de Rock Alternativo formada en Londres el 2008 y compuesta por Laurence Beveridge (vocalista y guitarra rítmica), Kier Kemp (vocalista y guitarra rítmica), Drew Woolnough (bajista), Cyrus Barrone (guitarra líder) y Luke Illingworth (baterísta). El nombre de la banda viene de la película de Roman Polanski The Fearless Vampire Killers.
http://dbpedia.org/resource/The_Kills|The Kills|2000|"The Kills es una banda de post-punk revival e indie rock formada por la estadounidense Alison ""VV"" Mosshart y el guitarrista británico Jamie ""Hotel"" Hince."
http://jorgepedia.org/resource/Emmanuel Moire|null|null|null
http://jorgepedia.org/resource/Fiodor Novski|null|null|null
http://jorgepedia.org/resource/Mind The Thorns|null|null|null
http://jorgepedia.org/resource/Mac Miller|null|null|null
http://jorgepedia.org/resource/Dionysos|null|null|null
http://jorgepedia.org/resource/Jake Bugg|null|null|null
http://jorgepedia.org/resource/The King Khan & BBQ Show|null|null|null
http://jorgepedia.org/resource/Jon & The Vons|null|null|null
http://dbpedia.org/resource/Buzzcocks|Buzzcocks|1976|Buzzcocks es una banda de punk rock Inglés formada en Bolton en 1976 por el cantautor y guitarrista Pete Shelley y el cantautor Howard Devoto. Ellos son considerados como una influencia importante en la escena musical de Manchester, el movimiento sello discográfico independiente, punk rock, power pop, el punk pop y el rock indie. Alcanzaron el éxito comercial con singles que fusionan artesanía pop con la energía del punk de tiro rápido.
http://jorgepedia.org/resource/The Psychotic Monks|null|null|null
http://dbpedia.org/resource/Hatebreed|Hatebreed|1994|Hatebreed es una banda de metalcore de Bridgeport y New Haven. Fue formada en noviembre de 1994 por Jamey Jasta, Dave Russo, Larry Dwyer y Chris Beattie.
http://jorgepedia.org/resource/The BellRays|null|null|null
