nombre|direccion|aforo
SO36|Laskerstraße 5 Berlin 10245 Germany|null
://about blank|Skalitzer Straße 85-86 Berlin 10997 Germany|null
Roter Salon|Hasenheide 107-113 Berlin 10967 Germany|null
Monarch|Straße der Pariser Kommune 8 Berlin 10243 Germany|null
Sowieso|Berlin Germany|null
Magnet Club|Weisestr. 24 Berlin 12049 Germany|null
Lido|Eichenstraße 4 Berlin 12435 Germany|null
die Kiste|Pücklerstr. 34 Berlin 10997 Germany|null
Privatclub|Revaler Straße 99 Berlin 10245 Germany|null
Cassiopeia|Cuvrystr. 7 Berlin 10997 Germany|null
Glashaus|Skalitzer Straße 134 Berlin 10999 Germany|null
Fritzclub im Postbahnhof|Straße der Pariser Kommune 3-10 Berlin 10243 Germany|null
Gretchen|Obentrautstr. 19-21 Berlin 10963 Germany|null
Bi Nuu|Marheinekeplatz 1 Berlin 10961 Germany|null
Heimathafen Neukölln|Köpenicker Straße 137 Berlin 10179 Germany|null
Badehaus Szimpla Musiksalon|Mühlenstr. 12 - 30 Berlin 10243 Germany|null
Grüner Salon|Volksbühne am Rosa-Luxemburg-Platz Berlin 10178 Germany|null
Postbahnhof|Markgrafendamm 24C Berlin 10245 Germany|null
Passionskirche|Revaler Str. 99 Berlin 10245 Germany|null
Berghain|Ackerstr. 169/170 Berlin 10115 Germany|null
Mercedes-Benz Arena|Wilhelm-Staab-Straße 10-11 Potsdam 14467 Germany|null
Nikolaisaal|Rosa-Luxemburg-Platz 1 Berlin 10178 Germany|null
BASSY|Schönhauser Allee 176a Berlin 10119 Germany|null
Schokoladen|Schlesisches Tor 1 Berlin 10997 Germany|null
Huxleys Neue Welt|Heidenauer Straße 10 Berlin 12627 Germany|null
Urban Spree|Oranienstr. 190 Berlin 10999 Germany|null
Columbia Club|Falckensteinstr. 48 Berlin 10997 Germany|null
Auster-Club|Columbiadamm 9-11 Berlin 10965 Germany|null
